f1,f2,f3,f4,Outcome
127,3.49,500,470,Y
278,4.64,720,800,N
147,4.48,620,550,Y
131,3.95,650,600,Y
16,2.85,530,520,Y
171,3.13,620,520,Y
4,2.84,660,610,N
278,3.38,540,540,Y
204,3.39,570,580,N
157,3.66,560,500,Y
169,4.5,760,680,Y
258,3.31,530,470,Y
290,3.7,490,390,N
203,4.45,690,580,Y
45,3.23,680,710,N
45,3.59,570,570,N
166,3.45,600,510,N
119,2.76,540,510,Y
211,2.9,620,570,Y
254,2.5,530,470,Y
166,4.41,690,680,Y
14,3.51,620,500,Y
69,3.73,680,600,Y
278,3.19,620,530,N
302,2.67,500,400,Y
26,2.53,610,590,Y
14,3.03,590,590,Y
308,2.84,550,500,N
327,2.98,460,470,Y
278,3.83,510,480,Y
80,3.34,640,540,Y
96,3.52,530,500,Y
278,4.43,750,510,Y
14,3.17,580,610,Y
7,2.98,500,500,N
106,3.49,560,520,Y
166,3.22,560,520,Y
264,3.26,650,620,Y
110,2.54,670,480,Y
172,2.64,670,710,N
334,3.23,490,460,N
80,2.63,610,480,Y
13,3.12,710,700,N
92,2.9,660,570,N
166,3.9,720,600,Y
265,4.52,680,430,Y
106,2.81,470,450,Y
102,4.18,740,720,N
96,2.97,640,600,Y
127,2.69,610,440,N
96,2.13,560,580,Y
311,3.27,480,470,Y
92,2.72,650,510,Y
309,3.89,720,800,Y
186,4.11,640,520,Y
239,3.28,610,600,Y
12,2.66,540,530,Y
171,2.75,580,540,N
119,4.01,540,470,Y
165,3.97,560,480,N
278,3.1,450,370,Y
25,2.77,540,410,N
278,3.45,540,470,N
15,3.05,640,480,Y
92,3.05,630,510,Y
278,3.74,640,530,Y
53,3.09,740,550,Y
149,3.26,650,530,Y
278,3.54,520,410,N
45,3.29,590,500,Y
119,3.13,520,530,N
166,3.7,580,640,Y
135,3.16,650,460,Y
152,2.53,510,480,N
302,3.73,650,600,N
278,2.8,570,480,Y
166,3.28,530,500,Y
131,3.12,650,650,N
256,3.36,520,440,N
97,2.54,740,680,N
278,3.81,470,480,Y
310,3.92,460,450,Y
127,3.25,640,490,Y
75,2.32,580,470,N
106,2.6,470,540,Y
106,2.92,590,570,N
89,2.87,640,500,N
7,2.65,570,490,N
311,3.47,590,460,Y
65,2.52,650,730,N
101,2.94,510,550,N
290,3.7,450,520,N
55,2.85,600,530,Y
166,4.34,630,510,Y
241,3.38,700,720,N
14,2.72,780,530,Y
134,3.47,510,350,Y
45,3.01,600,530,N
172,3.48,480,420,Y
256,3.47,520,530,Y
252,3.9,640,570,Y
45,3.68,590,550,Y
149,3.72,600,580,Y
34,2.51,560,530,Y
278,3.77,530,520,N
152,2.92,510,530,Y
45,4.05,640,580,Y
89,2.66,680,570,N
106,2.42,630,470,N
175,3.47,550,450,Y
171,3.49,570,640,N
165,3.27,640,350,Y
102,3.39,450,440,N
54,3.71,620,610,Y
34,3.43,650,680,N
278,3.9,580,470,Y
167,3.33,590,380,N
89,2.77,610,420,N
174,3.01,690,540,N
48,3.47,660,530,N
167,2.79,610,450,Y
166,2.97,640,590,N
131,3.65,610,470,Y
302,2.73,550,430,N
172,4.03,460,460,N
29,3.55,600,720,Y
180,3.15,660,730,N
